GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000329,308,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,0,35,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,36,1,1,20210203,MIL,IND
Shot Chart Detail,0022000329,496,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,10,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-44,146,1,1,20210203,MIL,IND
Shot Chart Detail,0022000329,523,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,8,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,25,1,1,20210203,MIL,IND
Shot Chart Detail,0022000329,549,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,37,264,1,1,20210203,MIL,IND
Shot Chart Detail,0022000329,600,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,3,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-16,88,1,1,20210203,MIL,IND
Shot Chart Detail,0022000346,282,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,5,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,63,185,1,1,20210205,CLE,MIL
Shot Chart Detail,0022000346,652,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,2,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,40,292,1,1,20210205,CLE,MIL
Shot Chart Detail,0022000346,700,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,0,58,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,0,119,1,1,20210205,CLE,MIL
Shot Chart Detail,0022000346,703,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,0,38,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,45,116,1,1,20210205,CLE,MIL
Shot Chart Detail,0022000357,214,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,6,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-1,1,1,20210206,CLE,MIL
Shot Chart Detail,0022000357,256,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,3,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,113,1,1,20210206,CLE,MIL
Shot Chart Detail,0022000357,285,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,0,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-172,188,1,1,20210206,CLE,MIL
Shot Chart Detail,0022000357,538,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,7,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,187,200,1,1,20210206,CLE,MIL
Shot Chart Detail,0022000357,551,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,6,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,3,1,1,20210206,CLE,MIL
Shot Chart Detail,0022000357,577,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,4,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,145,1,1,20210206,CLE,MIL
Shot Chart Detail,0022000373,17,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,1,10,39,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,32,1,1,20210208,DEN,MIL
Shot Chart Detail,0022000373,153,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,10,57,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,143,106,1,1,20210208,DEN,MIL
Shot Chart Detail,0022000373,318,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,3,11,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,106,247,1,1,20210208,DEN,MIL
Shot Chart Detail,0022000373,333,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,3,9,27,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-177,115,1,1,20210208,DEN,MIL
Shot Chart Detail,0022000373,364,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,3,6,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-117,221,1,1,20210208,DEN,MIL
Shot Chart Detail,0022000373,555,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,6,11,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,-4,1,1,20210208,DEN,MIL
